Age,gender,PS/SD,Crime_Location,Crime_date,Crime_time,Allegation,Crime_datetime
35,1,5,5,17/08/2019,6:30:00 PM,3,2019-08-17 18:30:00
30,1,5,5,17/08/2019,6:30:00 PM,3,2019-08-17 18:30:00
39,1,5,5,17/08/2019,6:30:00 PM,3,2019-08-17 18:30:00
35,1,5,5,17/08/2019,6:30:00 PM,3,2019-08-17 18:30:00
35,1,5,5,17/08/2019,6:30:00 PM,9,2019-08-17 18:30:00
50,1,5,5,17/08/2019,6:30:00 PM,9,2019-08-17 18:30:00
55,1,5,5,17/08/2019,6:30:00 PM,9,2019-08-17 18:30:00
48,1,5,5,17/08/2019,6:30:00 PM,9,2019-08-17 18:30:00
55,1,5,5,17/08/2019,6:30:00 PM,3,2019-08-17 18:30:00
29,1,5,5,17/08/2019,6:30:00 PM,9,2019-08-17 18:30:00
38,1,5,5,17/08/2019,6:30:00 PM,9,2019-08-17 18:30:00
35,1,5,5,17/08/2019,6:30:00 PM,9,2019-08-17 18:30:00
35,1,5,5,17/08/2019,6:30:00 PM,9,2019-08-17 18:30:00
39,1,5,5,17/08/2019,6:30:00 PM,9,2019-08-17 18:30:00
30,1,5,5,17/08/2019,6:30:00 PM,9,2019-08-17 18:30:00
55,1,5,5,17/08/2019,6:30:00 PM,9,2019-08-17 18:30:00
55,1,5,5,17/08/2019,6:30:00 PM,9,2019-08-17 18:30:00
31,1,5,5,17/08/2019,6:30:00 PM,9,2019-08-17 18:30:00
50,1,5,5,17/08/2019,6:30:00 PM,9,2019-08-17 18:30:00
55,1,5,5,17/08/2019,6:30:00 PM,3,2019-08-17 18:30:00
72,1,5,5,17/08/2019,6:30:00 PM,3,2019-08-17 18:30:00
72,1,5,5,17/08/2019,6:30:00 PM,0,2019-08-17 18:30:00
35,1,5,5,17/08/2019,6:30:00 PM,0,2019-08-17 18:30:00
50,1,5,5,17/08/2019,6:30:00 PM,0,2019-08-17 18:30:00
55,1,5,5,17/08/2019,6:30:00 PM,0,2019-08-17 18:30:00
55,1,5,5,17/08/2019,6:30:00 PM,0,2019-08-17 18:30:00
30,1,5,5,17/08/2019,6:30:00 PM,0,2019-08-17 18:30:00
39,1,5,5,17/08/2019,6:30:00 PM,0,2019-08-17 18:30:00
35,1,5,5,17/08/2019,6:30:00 PM,3,2019-08-17 18:30:00
35,1,5,5,17/08/2019,6:30:00 PM,0,2019-08-17 18:30:00
38,1,5,5,17/08/2019,6:30:00 PM,0,2019-08-17 18:30:00
31,1,5,5,17/08/2019,6:30:00 PM,0,2019-08-17 18:30:00
29,1,5,5,17/08/2019,6:30:00 PM,0,2019-08-17 18:30:00
48,1,5,5,17/08/2019,6:30:00 PM,0,2019-08-17 18:30:00
55,1,5,5,17/08/2019,6:30:00 PM,0,2019-08-17 18:30:00
50,1,5,5,17/08/2019,6:30:00 PM,0,2019-08-17 18:30:00
35,1,5,5,17/08/2019,6:30:00 PM,0,2019-08-17 18:30:00
35,1,5,5,17/08/2019,6:30:00 PM,0,2019-08-17 18:30:00
35,1,5,5,17/08/2019,6:30:00 PM,9,2019-08-17 18:30:00
50,1,5,5,17/08/2019,6:30:00 PM,3,2019-08-17 18:30:00
35,1,5,5,17/08/2019,6:30:00 PM,23,2019-08-17 18:30:00
38,1,5,5,17/08/2019,6:30:00 PM,16,2019-08-17 18:30:00
35,1,5,5,17/08/2019,6:30:00 PM,16,2019-08-17 18:30:00
35,1,5,5,17/08/2019,6:30:00 PM,16,2019-08-17 18:30:00
39,1,5,5,17/08/2019,6:30:00 PM,16,2019-08-17 18:30:00
30,1,5,5,17/08/2019,6:30:00 PM,16,2019-08-17 18:30:00
55,1,5,5,17/08/2019,6:30:00 PM,16,2019-08-17 18:30:00
55,1,5,5,17/08/2019,6:30:00 PM,16,2019-08-17 18:30:00
50,1,5,5,17/08/2019,6:30:00 PM,16,2019-08-17 18:30:00
35,1,5,5,17/08/2019,6:30:00 PM,16,2019-08-17 18:30:00
72,1,5,5,17/08/2019,6:30:00 PM,16,2019-08-17 18:30:00
35,1,5,5,17/08/2019,6:30:00 PM,3,2019-08-17 18:30:00
50,1,5,5,17/08/2019,6:30:00 PM,3,2019-08-17 18:30:00
55,1,5,5,17/08/2019,6:30:00 PM,3,2019-08-17 18:30:00
48,1,5,5,17/08/2019,6:30:00 PM,3,2019-08-17 18:30:00
29,1,5,5,17/08/2019,6:30:00 PM,3,2019-08-17 18:30:00
31,1,5,5,17/08/2019,6:30:00 PM,3,2019-08-17 18:30:00
72,1,5,5,17/08/2019,6:30:00 PM,9,2019-08-17 18:30:00
31,1,5,5,17/08/2019,6:30:00 PM,16,2019-08-17 18:30:00
29,1,5,5,17/08/2019,6:30:00 PM,16,2019-08-17 18:30:00
38,1,5,5,17/08/2019,6:30:00 PM,3,2019-08-17 18:30:00
48,1,5,5,17/08/2019,6:30:00 PM,16,2019-08-17 18:30:00
55,1,5,5,17/08/2019,6:30:00 PM,23,2019-08-17 18:30:00
48,1,5,5,17/08/2019,6:30:00 PM,23,2019-08-17 18:30:00
29,1,5,5,17/08/2019,6:30:00 PM,23,2019-08-17 18:30:00
31,1,5,5,17/08/2019,6:30:00 PM,23,2019-08-17 18:30:00
38,1,5,5,17/08/2019,6:30:00 PM,23,2019-08-17 18:30:00
35,1,5,5,17/08/2019,6:30:00 PM,23,2019-08-17 18:30:00
35,1,5,5,17/08/2019,6:30:00 PM,23,2019-08-17 18:30:00
39,1,5,5,17/08/2019,6:30:00 PM,23,2019-08-17 18:30:00
50,1,5,5,17/08/2019,6:30:00 PM,23,2019-08-17 18:30:00
55,1,5,5,17/08/2019,6:30:00 PM,23,2019-08-17 18:30:00
55,1,5,5,17/08/2019,6:30:00 PM,23,2019-08-17 18:30:00
50,1,5,5,17/08/2019,6:30:00 PM,23,2019-08-17 18:30:00
35,1,5,5,17/08/2019,6:30:00 PM,23,2019-08-17 18:30:00
72,1,5,5,17/08/2019,6:30:00 PM,23,2019-08-17 18:30:00
35,1,5,5,17/08/2019,6:30:00 PM,16,2019-08-17 18:30:00
50,1,5,5,17/08/2019,6:30:00 PM,16,2019-08-17 18:30:00
55,1,5,5,17/08/2019,6:30:00 PM,16,2019-08-17 18:30:00
30,1,5,5,17/08/2019,6:30:00 PM,23,2019-08-17 18:30:00
48,1,9,4,18/12/2019,12:30:00 AM,6,2019-12-18 00:30:00
33,1,9,4,18/12/2019,12:30:00 AM,6,2019-12-18 00:30:00
32,1,9,4,18/12/2019,12:30:00 AM,8,2019-12-18 00:30:00
34,1,9,4,18/12/2019,12:30:00 AM,8,2019-12-18 00:30:00
40,0,9,4,18/12/2019,12:30:00 AM,8,2019-12-18 00:30:00
65,1,9,4,18/12/2019,12:30:00 AM,8,2019-12-18 00:30:00
34,1,9,4,18/12/2019,12:30:00 AM,6,2019-12-18 00:30:00
50,1,9,4,18/12/2019,12:30:00 AM,8,2019-12-18 00:30:00
65,1,9,4,18/12/2019,12:30:00 AM,6,2019-12-18 00:30:00
33,1,9,4,18/12/2019,12:30:00 AM,30,2019-12-18 00:30:00
50,1,9,4,18/12/2019,12:30:00 AM,6,2019-12-18 00:30:00
32,1,9,4,18/12/2019,12:30:00 AM,6,2019-12-18 00:30:00
48,1,9,4,18/12/2019,12:30:00 AM,30,2019-12-18 00:30:00
34,1,9,4,18/12/2019,12:30:00 AM,30,2019-12-18 00:30:00
65,1,9,4,18/12/2019,12:30:00 AM,30,2019-12-18 00:30:00
40,0,9,4,18/12/2019,12:30:00 AM,30,2019-12-18 00:30:00
48,1,9,4,18/12/2019,12:30:00 AM,8,2019-12-18 00:30:00
50,1,9,4,18/12/2019,12:30:00 AM,30,2019-12-18 00:30:00
40,0,9,4,18/12/2019,12:30:00 AM,6,2019-12-18 00:30:00
33,1,9,4,18/12/2019,12:30:00 AM,8,2019-12-18 00:30:00
50,1,9,4,18/12/2019,12:30:00 AM,29,2019-12-18 00:30:00
50,1,9,4,18/12/2019,12:30:00 AM,19,2019-12-18 00:30:00
33,1,9,4,18/12/2019,12:30:00 AM,15,2019-12-18 00:30:00
34,1,9,4,18/12/2019,12:30:00 AM,15,2019-12-18 00:30:00
65,1,9,4,18/12/2019,12:30:00 AM,15,2019-12-18 00:30:00
40,0,9,4,18/12/2019,12:30:00 AM,15,2019-12-18 00:30:00
50,1,9,4,18/12/2019,12:30:00 AM,15,2019-12-18 00:30:00
32,1,9,4,18/12/2019,12:30:00 AM,15,2019-12-18 00:30:00
33,1,9,4,18/12/2019,12:30:00 AM,29,2019-12-18 00:30:00
48,1,9,4,18/12/2019,12:30:00 AM,29,2019-12-18 00:30:00
32,1,9,4,18/12/2019,12:30:00 AM,19,2019-12-18 00:30:00
34,1,9,4,18/12/2019,12:30:00 AM,29,2019-12-18 00:30:00
40,0,9,4,18/12/2019,12:30:00 AM,29,2019-12-18 00:30:00
32,1,9,4,18/12/2019,12:30:00 AM,30,2019-12-18 00:30:00
32,1,9,4,18/12/2019,12:30:00 AM,29,2019-12-18 00:30:00
33,1,9,4,18/12/2019,12:30:00 AM,19,2019-12-18 00:30:00
48,1,9,4,18/12/2019,12:30:00 AM,19,2019-12-18 00:30:00
34,1,9,4,18/12/2019,12:30:00 AM,19,2019-12-18 00:30:00
65,1,9,4,18/12/2019,12:30:00 AM,19,2019-12-18 00:30:00
40,0,9,4,18/12/2019,12:30:00 AM,19,2019-12-18 00:30:00
65,1,9,4,18/12/2019,12:30:00 AM,29,2019-12-18 00:30:00
48,1,9,4,18/12/2019,12:30:00 AM,15,2019-12-18 00:30:00
30,1,10,7,24/04/2022,1:55:00 PM,11,2022-04-24 13:55:00
32,1,10,7,24/04/2022,1:55:00 PM,11,2022-04-24 13:55:00
38,1,10,7,24/04/2022,1:55:00 PM,11,2022-04-24 13:55:00
32,1,10,7,24/04/2022,1:55:00 PM,11,2022-04-24 13:55:00
42,1,2,1,2/10/2022,11:00:00 AM,18,2022-10-02 11:00:00
50,1,2,1,2/10/2022,11:00:00 AM,13,2022-10-02 11:00:00
32,1,2,1,2/10/2022,11:00:00 AM,13,2022-10-02 11:00:00
55,1,2,1,2/10/2022,11:00:00 AM,13,2022-10-02 11:00:00
50,1,2,1,2/10/2022,11:00:00 AM,13,2022-10-02 11:00:00
42,1,2,1,2/10/2022,11:00:00 AM,13,2022-10-02 11:00:00
35,1,2,1,2/10/2022,11:00:00 AM,13,2022-10-02 11:00:00
33,1,2,1,2/10/2022,11:00:00 AM,26,2022-10-02 11:00:00
33,1,2,1,2/10/2022,11:00:00 AM,26,2022-10-02 11:00:00
34,1,2,1,2/10/2022,11:00:00 AM,26,2022-10-02 11:00:00
35,1,2,1,2/10/2022,11:00:00 AM,18,2022-10-02 11:00:00
50,1,2,1,2/10/2022,11:00:00 AM,18,2022-10-02 11:00:00
34,1,2,1,2/10/2022,11:00:00 AM,13,2022-10-02 11:00:00
55,1,2,1,2/10/2022,11:00:00 AM,18,2022-10-02 11:00:00
32,1,2,1,2/10/2022,11:00:00 AM,18,2022-10-02 11:00:00
50,1,2,1,2/10/2022,11:00:00 AM,18,2022-10-02 11:00:00
34,1,2,1,2/10/2022,11:00:00 AM,18,2022-10-02 11:00:00
33,1,2,1,2/10/2022,11:00:00 AM,18,2022-10-02 11:00:00
33,1,2,1,2/10/2022,11:00:00 AM,18,2022-10-02 11:00:00
35,1,2,1,2/10/2022,11:00:00 AM,26,2022-10-02 11:00:00
42,1,2,1,2/10/2022,11:00:00 AM,26,2022-10-02 11:00:00
50,1,2,1,2/10/2022,11:00:00 AM,26,2022-10-02 11:00:00
50,1,2,1,2/10/2022,11:00:00 AM,26,2022-10-02 11:00:00
33,1,2,1,2/10/2022,11:00:00 AM,13,2022-10-02 11:00:00
32,1,2,1,2/10/2022,11:00:00 AM,26,2022-10-02 11:00:00
55,1,2,1,2/10/2022,11:00:00 AM,26,2022-10-02 11:00:00
33,1,2,1,2/10/2022,11:00:00 AM,13,2022-10-02 11:00:00
19,1,4,7,19/11/2022,2:15:00 AM,26,2022-11-19 02:15:00
22,1,4,7,19/11/2022,2:15:00 AM,26,2022-11-19 02:15:00
25,1,4,7,19/11/2022,2:15:00 AM,26,2022-11-19 02:15:00
19,1,4,7,19/11/2022,2:15:00 AM,26,2022-11-19 02:15:00
32,1,4,7,19/11/2022,2:15:00 AM,26,2022-11-19 02:15:00
30,1,4,7,19/11/2022,2:15:00 AM,26,2022-11-19 02:15:00
29,1,4,7,19/11/2022,2:15:00 AM,26,2022-11-19 02:15:00
22,1,4,7,19/11/2022,2:15:00 AM,26,2022-11-19 02:15:00
35,1,4,7,19/11/2022,2:15:00 AM,26,2022-11-19 02:15:00
35,1,0,5,2/12/2022,12:25:00 PM,4,2022-12-02 12:25:00
31,1,0,5,2/12/2022,12:25:00 PM,4,2022-12-02 12:25:00
45,1,0,5,2/12/2022,12:25:00 PM,2,2022-12-02 12:25:00
29,1,0,5,2/12/2022,12:25:00 PM,2,2022-12-02 12:25:00
25,1,0,5,2/12/2022,12:25:00 PM,2,2022-12-02 12:25:00
28,1,0,5,2/12/2022,12:25:00 PM,2,2022-12-02 12:25:00
26,1,0,5,2/12/2022,12:25:00 PM,2,2022-12-02 12:25:00
26,1,0,5,2/12/2022,12:25:00 PM,2,2022-12-02 12:25:00
29,1,0,5,2/12/2022,12:25:00 PM,2,2022-12-02 12:25:00
31,1,0,5,2/12/2022,12:25:00 PM,2,2022-12-02 12:25:00
30,1,0,5,2/12/2022,12:25:00 PM,2,2022-12-02 12:25:00
31,1,0,5,2/12/2022,12:25:00 PM,2,2022-12-02 12:25:00
35,1,0,5,2/12/2022,12:25:00 PM,2,2022-12-02 12:25:00
32,1,0,5,2/12/2022,12:25:00 PM,2,2022-12-02 12:25:00
27,1,0,5,2/12/2022,12:25:00 PM,4,2022-12-02 12:25:00
27,1,0,5,2/12/2022,12:25:00 PM,2,2022-12-02 12:25:00
31,1,0,5,2/12/2022,12:25:00 PM,28,2022-12-02 12:25:00
35,1,0,5,2/12/2022,12:25:00 PM,28,2022-12-02 12:25:00
31,1,0,5,2/12/2022,12:25:00 PM,28,2022-12-02 12:25:00
27,1,0,5,2/12/2022,12:25:00 PM,28,2022-12-02 12:25:00
32,1,0,5,2/12/2022,12:25:00 PM,28,2022-12-02 12:25:00
29,1,0,5,2/12/2022,12:25:00 PM,28,2022-12-02 12:25:00
27,1,0,5,2/12/2022,12:25:00 PM,28,2022-12-02 12:25:00
32,1,0,5,2/12/2022,12:25:00 PM,28,2022-12-02 12:25:00
31,1,0,5,2/12/2022,12:25:00 PM,28,2022-12-02 12:25:00
30,1,0,5,2/12/2022,12:25:00 PM,28,2022-12-02 12:25:00
31,1,0,5,2/12/2022,12:25:00 PM,28,2022-12-02 12:25:00
29,1,0,5,2/12/2022,12:25:00 PM,28,2022-12-02 12:25:00
26,1,0,5,2/12/2022,12:25:00 PM,28,2022-12-02 12:25:00
26,1,0,5,2/12/2022,12:25:00 PM,28,2022-12-02 12:25:00
28,1,0,5,2/12/2022,12:25:00 PM,28,2022-12-02 12:25:00
25,1,0,5,2/12/2022,12:25:00 PM,28,2022-12-02 12:25:00
29,1,0,5,2/12/2022,12:25:00 PM,28,2022-12-02 12:25:00
45,1,0,5,2/12/2022,12:25:00 PM,28,2022-12-02 12:25:00
35,1,0,5,2/12/2022,12:25:00 PM,28,2022-12-02 12:25:00
31,1,0,5,2/12/2022,12:25:00 PM,2,2022-12-02 12:25:00
35,1,0,5,2/12/2022,12:25:00 PM,2,2022-12-02 12:25:00
31,1,0,5,2/12/2022,12:25:00 PM,2,2022-12-02 12:25:00
27,1,0,5,2/12/2022,12:25:00 PM,2,2022-12-02 12:25:00
32,1,0,5,2/12/2022,12:25:00 PM,2,2022-12-02 12:25:00
29,1,0,5,2/12/2022,12:25:00 PM,2,2022-12-02 12:25:00
31,1,0,5,2/12/2022,12:25:00 PM,4,2022-12-02 12:25:00
27,1,0,5,2/12/2022,12:25:00 PM,4,2022-12-02 12:25:00
26,1,0,5,2/12/2022,12:25:00 PM,4,2022-12-02 12:25:00
29,1,0,5,2/12/2022,12:25:00 PM,4,2022-12-02 12:25:00
32,1,0,5,2/12/2022,12:25:00 PM,4,2022-12-02 12:25:00
35,1,0,5,2/12/2022,12:25:00 PM,4,2022-12-02 12:25:00
45,1,0,5,2/12/2022,12:25:00 PM,4,2022-12-02 12:25:00
29,1,0,5,2/12/2022,12:25:00 PM,4,2022-12-02 12:25:00
28,1,0,5,2/12/2022,12:25:00 PM,4,2022-12-02 12:25:00
26,1,0,5,2/12/2022,12:25:00 PM,4,2022-12-02 12:25:00
25,1,0,5,2/12/2022,12:25:00 PM,4,2022-12-02 12:25:00
31,1,0,5,2/12/2022,12:25:00 PM,4,2022-12-02 12:25:00
30,1,0,5,2/12/2022,12:25:00 PM,4,2022-12-02 12:25:00
31,1,0,5,2/12/2022,12:25:00 PM,4,2022-12-02 12:25:00
32,1,0,5,2/12/2022,12:25:00 PM,4,2022-12-02 12:25:00
29,1,0,5,2/12/2022,12:25:00 PM,4,2022-12-02 12:25:00
30,1,7,6,29/12/2022,3:30:00 PM,22,2022-12-29 15:30:00
29,1,7,6,29/12/2022,3:30:00 PM,22,2022-12-29 15:30:00
30,1,7,6,29/12/2022,3:30:00 PM,22,2022-12-29 15:30:00
35,1,1,0,9/6/2024,4:30:00 AM,13,2024-06-09 04:30:00
30,1,1,0,9/6/2024,4:30:00 AM,13,2024-06-09 04:30:00
45,1,1,0,9/6/2024,4:30:00 AM,13,2024-06-09 04:30:00
65,1,1,0,9/6/2024,4:30:00 AM,13,2024-06-09 04:30:00
27,0,1,0,9/6/2024,4:30:00 AM,14,2024-06-09 04:30:00
45,1,1,0,9/6/2024,4:30:00 AM,14,2024-06-09 04:30:00
26,0,1,0,9/6/2024,4:30:00 AM,14,2024-06-09 04:30:00
23,1,1,0,9/6/2024,4:30:00 AM,14,2024-06-09 04:30:00
30,0,1,0,9/6/2024,4:30:00 AM,14,2024-06-09 04:30:00
35,0,1,0,9/6/2024,4:30:00 AM,14,2024-06-09 04:30:00
20,1,1,0,9/6/2024,4:30:00 AM,14,2024-06-09 04:30:00
35,1,1,0,9/6/2024,4:30:00 AM,14,2024-06-09 04:30:00
30,1,1,0,9/6/2024,4:30:00 AM,14,2024-06-09 04:30:00
65,1,1,0,9/6/2024,4:30:00 AM,14,2024-06-09 04:30:00
23,0,1,0,9/6/2024,4:30:00 AM,14,2024-06-09 04:30:00
20,1,1,0,9/6/2024,4:30:00 AM,13,2024-06-09 04:30:00
30,0,1,0,9/6/2024,4:30:00 AM,13,2024-06-09 04:30:00
23,1,1,0,9/6/2024,4:30:00 AM,13,2024-06-09 04:30:00
27,0,1,0,9/6/2024,4:30:00 AM,25,2024-06-09 04:30:00
35,0,1,0,9/6/2024,4:30:00 AM,13,2024-06-09 04:30:00
26,0,1,0,9/6/2024,4:30:00 AM,25,2024-06-09 04:30:00
23,1,1,0,9/6/2024,4:30:00 AM,25,2024-06-09 04:30:00
30,0,1,0,9/6/2024,4:30:00 AM,25,2024-06-09 04:30:00
35,0,1,0,9/6/2024,4:30:00 AM,25,2024-06-09 04:30:00
20,1,1,0,9/6/2024,4:30:00 AM,25,2024-06-09 04:30:00
23,0,1,0,9/6/2024,4:30:00 AM,25,2024-06-09 04:30:00
35,1,1,0,9/6/2024,4:30:00 AM,25,2024-06-09 04:30:00
30,1,1,0,9/6/2024,4:30:00 AM,25,2024-06-09 04:30:00
65,1,1,0,9/6/2024,4:30:00 AM,25,2024-06-09 04:30:00
27,0,1,0,9/6/2024,4:30:00 AM,13,2024-06-09 04:30:00
23,0,1,0,9/6/2024,4:30:00 AM,13,2024-06-09 04:30:00
26,0,1,0,9/6/2024,4:30:00 AM,13,2024-06-09 04:30:00
45,1,1,0,9/6/2024,4:30:00 AM,25,2024-06-09 04:30:00
45,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
43,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
33,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
50,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
54,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
47,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
60,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
64,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
45,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
38,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
52,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
72,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
45,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
45,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
50,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
40,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
45,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
40,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
35,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
38,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
55,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
50,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
60,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
55,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
63,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
47,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
35,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
44,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
38,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
45,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
50,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
56,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
55,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
65,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
35,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
60,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
58,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
40,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
40,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
60,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
39,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
40,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
50,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
40,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
38,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
38,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
40,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
36,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
55,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
45,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
35,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
36,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
35,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
55,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
38,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
50,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
40,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
60,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
38,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
75,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
36,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
52,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
38,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
65,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
42,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
52,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
50,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
35,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
43,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
42,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
42,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
55,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
38,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
70,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
53,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
52,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
58,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
38,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
58,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
55,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
50,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
58,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
57,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
58,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
45,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
57,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
58,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
53,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
55,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
48,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
45,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
48,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
40,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
50,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
40,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
42,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
42,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
38,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
35,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
45,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
37,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
45,1,3,3,19/08/2024,3:30:00 PM,1,2024-08-19 15:30:00
